LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 22147, 0, 54.86070348128415, 99.5575221238938, 54.858226476430815,
1, 270295, 0, 95.8952255868588, 99.5575221238938, 95.89487080829959,
2, 119599, 0, 94.39543808894723, 98.0, 94.39464882943184,
3, 234799, 0, 96.16395299809625, 98.0, 96.16354344122621,
4, 93919, 0, 88.31439857749763, 90.0, 88.31345826235089,
5, 186079, 0, 89.14923231530695, 90.0, 89.14875322441954,
6, 186079, 0, 89.14923231530695, 90.0, 89.14875322441954,
7, 263551, 0, 12.433267185478332, 12.5, 12.433220009713436,
8, 1045, 0, 7.655502392344498, 7.8125, 7.648183556405354,
