LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 22129.0, 97200, 1.0, 22141.0, 195264, 26.0, 22147.0, 68448, -327.0, -1.0, 3072, -295.0, -1.0, 1728, 6309.0, 22675.0, 57615,
1, 1.0, 270277.0, 2073600, 1.0, 270289.0, 4165632, 575.0, 270295.0, 68448, -1635.0, 258143.0, 325498, -3833.0, -1.0, 36864, 77130.0, 270823.0, 57615,
2, 1.0, 119581.0, 903168, 1.0, 119593.0, 1843200, 575.0, 119599.0, 29888, -1635.0, 115848.0, 136176, -7370.0, 105234.0, 82916, 78326.0, 120143.0, 25103,
3, 1.0, 234781.0, 1806336, 1.0, 234793.0, 3686400, 1151.0, 234799.0, 29888, -1635.0, 225044.0, 323706, -7370.0, 177260.0, 184264, 153782.0, 235343.0, 25103,
4, 1.0, 93901.0, 663552, 1.0, 93913.0, 1474560, 1151.0, 93919.0, 11136, -851.0, -1.0, 8192, -7370.0, 89210.0, 386932, 93919.0, 94494.0, 9216,
5, 1.0, 186061.0, 1327104, 1.0, 186073.0, 2949120, 2303.0, 186079.0, 11136, -1635.0, 183006.0, 267154, -7370.0, 176762.0, 1142364, 186079.0, 186654.0, 9216,
6, 1.0, 186061.0, 1327104, 1.0, 186073.0, 2949120, 2303.0, 186079.0, 11136, -1635.0, 183006.0, 267154, -7370.0, 176762.0, 1142364, 186079.0, 186654.0, 9216,
7, 1.0, 263530.0, 262144, 1.0, 263545.0, 4194304, 4102.0, 263551.0, 2560, -426.0, -1.0, 4096, -7370.0, 259322.0, 4194304, 263551.0, 263614.0, 1024,
8, 1.0, 1024.0, 1024, 1.0, 1033.0, 10240, 1030.0, 1039.0, 34, -131.0, -1.0, 1024, -1032.0, -1.0, 10240, 1045.0, 1045.0, 10,
