LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 14879, 0, 81.65871362322737, 84.375, 80.35714285714286,
1, 267839, 0, 96.77455486318273, 100.0, 95.23809523809568,
2, 130175, 0, 86.72632994046477, 100.0, 81.32780082987628,
3, 260351, 0, 86.72599682735999, 100.0, 81.32780082987647,
4, 152063, 0, 54.545813248456234, 100.0, 44.44444444444553,
5, 304127, 0, 54.545633896365665, 100.0, 44.44444444443994,
6, 304127, 0, 54.545633896365665, 100.0, 44.44444444443994,
7, 1015807, 0, 3.225809627222494, 100.0, 2.1739130434783625,
8, 3967, 0, 2.01663725737333, 62.5, 1.3586956521739086,
