LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 17.0, 601337.0, 8921088, 1.0, 600838.0, 147456, 31.0, 601343.0, 4460544, -1619.0, 600646.0, 8921088, -7370.0, 600831.0, 147456, 2234.0, 601855.0, 4460551,
1, 17.0, 601337.0, 8921088, 1.0, 600838.0, 147456, 31.0, 601343.0, 4460544, -1619.0, 600646.0, 8921088, -7370.0, 600831.0, 147456, 2234.0, 601855.0, 4460551,
2, 17.0, 601337.0, 8921088, 1.0, 600838.0, 147456, 31.0, 601343.0, 4460544, -1619.0, 600646.0, 8921088, -7370.0, 600831.0, 147456, 2234.0, 601855.0, 4460551,
3, 17.0, 601337.0, 8921088, 1.0, 600838.0, 147456, 31.0, 601343.0, 4460544, -1619.0, 600646.0, 8921088, -7370.0, 600831.0, 147456, 2234.0, 601855.0, 4460551,
4, 17.0, 601337.0, 8921088, 1.0, 600838.0, 147456, 31.0, 601343.0, 4460544, -1619.0, 600646.0, 8921088, -7370.0, 600831.0, 147456, 2234.0, 601855.0, 4460551,
5, 17.0, 317945.0, 3686400, 1.0, 317830.0, 294912, 31.0, 317951.0, 1843200, -1619.0, 315594.0, 1567490, -7370.0, 317816.0, 294912, 2842.0, 318975.0, 1843207,
