LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 11.594221131210263, 0.9275376904968211, 5.797110565605132, 11.58858996686639, 0.9172958757579669, 5.80435987466738,
1, 11.594221131210263, 0.9275376904968211, 5.797110565605132, 11.58858996686639, 0.9172958757579669, 5.80435987466738,
2, 11.594221131210263, 0.9275376904968211, 5.797110565605132, 11.58858996686639, 0.9172958757579669, 5.80435987466738,
3, 11.594221131210263, 0.9275376904968211, 5.797110565605132, 11.58858996686639, 0.9172958757579669, 5.80435987466738,
4, 11.594221131210263, 0.9275376904968211, 5.797110565605132, 11.58858996686639, 0.9172958757579669, 5.80435987466738,
5, 11.594221131210263, 0.9275376904968211, 5.797110565605132, 11.58858996686639, 0.9172958757579669, 5.80435987466738,
6, 11.594221131210263, 0.9275376904968211, 5.797110565605132, 11.58858996686639, 0.9172958757579669, 5.80435987466738,
7, 11.594221131210263, 0.9275376904968211, 5.797110565605132, 11.58858996686639, 0.9172958757579669, 5.80435987466738,
8, 11.594221131210263, 0.9275376904968211, 5.797110565605132, 11.58858996686639, 0.9172958757579669, 5.80435987466738,
9, 11.594221131210263, 0.9275376904968211, 5.797110565605132, 11.58858996686639, 0.9172958757579669, 5.80435987466738,
10, 11.594221131210263, 0.9275376904968211, 5.797110565605132, 11.58858996686639, 0.9172958757579669, 5.80435987466738,
11, 4.740750266746774, 2.370375133373387, 2.370375133373387, 9.71127502634352, 2.3367371396537826, 2.393931030564017,
12, 4.740745503738972, 2.370372751869486, 2.370372751869486, 2.100554644011153, 2.3539219960829425, 2.3820924787441453,
13, 4.740745503738972, 2.370372751869486, 2.370372751869486, 2.100554644011153, 2.3539219960829425, 2.3820924787441453,
14, 4.740745503738972, 2.370372751869486, 2.370372751869486, 2.100554644011153, 2.3539219960829425, 2.3820924787441453,
15, 4.740745503738972, 2.370372751869486, 2.370372751869486, 2.100554644011153, 2.3539219960829425, 2.3820924787441453,
16, 4.740745503738972, 2.370372751869486, 2.370372751869486, 2.100554644011153, 2.3539219960829425, 2.3820924787441453,
17, 0.4102816988226592, 3.1875731985452753, 0.1992233249090797, 7.757575757575758, 9.744111550781986, 8.0,
